X_Obs,Y_Obs,Z_Obs,Dilatation
439092.7,4373573.3,0,-2.82635563367622e-07
439092.7,4374573.3,0,-4.1844068093478e-07
439092.7,4375573.3,0,-5.67279143552263e-07
439092.7,4376573.3,0,-7.16416009803119e-07
439092.7,4377573.3,0,-8.52614375189973e-07
439092.7,4378573.3,0,-9.65875997368363e-07
439092.7,4379573.3,0,-1.05144233901413e-06
439092.7,4380573.3,0,-1.10935300363994e-06
439092.7,4381573.3,0,-1.14241566987265e-06
439092.7,4382573.3,0,-1.15393244447775e-06
439092.7,4383573.3,0,-1.14607597704361e-06
439092.7,4384573.3,0,-1.11917709980022e-06
439092.7,4385573.3,0,-1.07183177639856e-06
439092.7,4386573.3,0,-1.00167472126296e-06
439092.7,4387573.3,0,-9.06737284066939e-07
439092.7,4388573.3,0,-7.87287641267874e-07
439092.7,4389573.3,0,-6.47680404413422e-07
439092.7,4390573.3,0,-4.97119915167384e-07
440092.7,4373573.3,0,-3.14710462991481e-07
440092.7,4374573.3,0,-5.08270370562912e-07
440092.7,4375573.3,0,-7.26583813607091e-07
440092.7,4376573.3,0,-9.46462477700396e-07
440092.7,4377573.3,0,-1.1434977001429e-06
440092.7,4378573.3,0,-1.3007677828471e-06
440092.7,4379573.3,0,-1.41277673698337e-06
440092.7,4380573.3,0,-1.48334486881376e-06
440092.7,4381573.3,0,-1.52049786047046e-06
440092.7,4382573.3,0,-1.5317827031674e-06
440092.7,4383573.3,0,-1.52153153691196e-06
440092.7,4384573.3,0,-1.48998915492084e-06
440092.7,4385573.3,0,-1.4337146151081e-06
440092.7,4386573.3,0,-1.3468380060052e-06
440092.7,4387573.3,0,-1.22316943181021e-06
440092.7,4388573.3,0,-1.05956403818367e-06
440092.7,4389573.3,0,-8.60349091438999e-07
440092.7,4390573.3,0,-6.40337143697889e-07
441092.7,4373573.3,0,-3.42502964543312e-07
441092.7,4374573.3,0,-6.29694048005376e-07
441092.7,4375573.3,0,-9.67269647764205e-07
441092.7,4376573.3,0,-1.30946816067423e-06
441092.7,4377573.3,0,-1.60707901929342e-06
441092.7,4378573.3,0,-1.82984886908771e-06
441092.7,4379573.3,0,-1.97410212481381e-06
441092.7,4380573.3,0,-2.05438845385786e-06
441092.7,4381573.3,0,-2.09044404965235e-06
441092.7,4382573.3,0,-2.09797020008506e-06
441092.7,4383573.3,0,-2.08480195659879e-06
441092.7,4384573.3,0,-2.05056442558542e-06
441092.7,4385573.3,0,-1.98792055912613e-06
441092.7,4386573.3,0,-1.88448453044313e-06
441092.7,4387573.3,0,-1.7252865105938e-06
441092.7,4388573.3,0,-1.4978256341422e-06
441092.7,4389573.3,0,-1.20244252012224e-06
441092.7,4390573.3,0,-8.63345453437757e-07
