Var1,Var2,Var3
447994.224605592,4390127.40968204,186.575243933578
448199.377882296,4390426.68723503,537.185875491254
447586.509016798,4390430.56200925,-541.189061407237
447770.777477876,4390123.88795025,-197.314843251818
448467.839362876,4386969.84367002,949.838271375637
448462.636712582,4388026.48969134,952.2947307386
448217.526025487,4387773.07971719,528.072094950628
448219.958120891,4387224.0734935,526.402576807336
448521.499517624,4383721.6981976,1018.34013797863
448516.061429569,4384859.48183413,1019.04034648016
448114.590763285,4384559.96134153,313.984464720573
448116.804200629,4384022.08799141,312.504754694649
448294.402233762,4383703.34084313,629.940233862573
448289.023544258,4384879.28220189,630.992408155725
447599.707261642,4388824.0089695,-547.76601899687
447606.322348119,4387776.95140025,-551.799917064714
447785.215552947,4388520.41804113,-196.261858609576
447789.189180277,4388079.724093,-195.653460273562
447357.421036699,4388570.49543161,-974.734514847304
447359.701524463,4388028.90974864,-978.9860674378
447625.90982946,4384008.10012415,-561.736084566981
447630.511229697,4382969.59133667,-563.611965577123
447880.577084108,4383756.90861145,-110.384830316303
447884.474721157,4383221.1858685,-108.834897822979
447380.476720605,4383759.860098,-993.396959815757
447381.834167054,4383217.54862272,-996.087642348288
448521.170625173,4376840.05743027,1016.51273220985
448119.773819726,4376540.01134816,310.078174682362
448293.462339006,4376860.20394685,626.573512622656
448523.705875852,4377308.18608659,1012.45237276216
448536.291564802,4378446.73548891,1010.80744290635
448133.664718484,4378141.47488699,307.786330156586
448130.979356187,4377610.90897279,309.16675352333
448296.267707962,4377288.65833813,623.63570377139
448308.367106569,4378461.4550525,623.223927577054
448534.860405063,4380511.312113,1011.75094225279
448528.584185043,4381652.70472342,1012.781358884
448131.015795491,4381347.91181836,309.902717889877
448133.171751317,4380816.71355968,310.963016734831
448309.816028562,4380497.60992972,625.463684799725
448301.163237787,4381669.97267526,624.290823926073
447638.001490911,4380798.22555139,-566.598772231753
447640.049055409,4379765.18649478,-567.703142225639
447896.127219191,4380549.35014549,-108.679510653548
447897.872403232,4380014.16471728,-108.756870598728
447389.769338516,4380552.84073446,-1000.73845208334
447390.279645053,4380010.45526933,-1001.75369105941
447634.605094851,4377592.59980169,-565.234638217903
447626.040437123,4376555.74655503,-561.428440923436
447890.755308613,4377341.57787882,-108.578821493712
447883.076966767,4376806.96111036,-111.416836186552
447383.183296071,4377345.87818817,-997.993151436487
447380.681848947,4376803.72654065,-993.247041726739
448450.289143824,4390176.64496112,964.125017829571
448451.023313541,4389631.17853189,961.961939091966
448459.326100103,4388574.42630816,958.530307695006
448470.187501407,4386423.03319478,945.83014640567
448514.310849036,4385326.12098121,1021.86425392708
448226.484916554,4386167.7430213,523.286322241127
448107.999515288,4385624.13756688,314.9305743813
448287.088775076,4385305.90150828,633.007846943537
448523.150114601,4383256.67793322,1015.6248153055
448296.252132938,4383274.62618429,627.988087305758
448000.629389787,4389678.62295286,189.306211743637
447595.483042816,4389379.28490104,-545.826804947805
447776.780630768,4389683.98112746,-194.813169672892
447346.153807519,4390173.97016999,-965.073155224103
447349.203421796,4389632.77017704,-970.606139239291
448206.158036394,4389380.47640525,536.768827810283
448008.530840259,4388523.38075743,187.508786405262
448208.669681575,4388827.76747835,532.247704506452
448012.78647788,4388075.844328,188.335969758178
448021.020167422,4386918.72648893,187.485811571641
448024.82670891,4386473.23755983,188.498323818184
